LinkFrom,LinkTo,Relevency Percent,Relevancy Score,Relevancy Multiplier
https://www.floraldaily.com/article/9312125/vertical-gardens-allotments-and-raised-flower-beds-leading-gardening-trends-of-2021/,https://www.comparethemarket.com/home-insurance/content/top-gardening-trends-2021/,28.68,37.44,1.3744
https://www.birminghammail.co.uk/news/midlands-news/uk-dog-owners-warned-face-20569169,https://www.comparethemarket.com/home-insurance/content/dog-proof-your-home/,24.98,51.82,1.5182
https://www.coloradohomesmag.com/the-most-popular-home-renovation-project/,https://www.comparethemarket.com/home-insurance/content/renovation-nation/,19.61,28.21,1.2821
https://www.whatmortgage.co.uk/news/buy-to-let/top-20-best-places-to-be-a-landlord-in-the-uk/,https://www.comparethemarket.com/home-insurance/content/rental-insurance-for-landlords/,0.0,0.0,1.0
https://www.thelandsite.co.uk/articles/top-20-places-to-invest-as-a-landlord-revealed,https://www.comparethemarket.com/home-insurance/content/rental-insurance-for-landlords/,3.25,11.93,1.1193
https://www.themoneypages.com/insurance/contents-insurance-spotlight-stay-home-order-fails-deter-burglars/,https://www.comparethemarket.com/home-insurance/,0.0,0.0,1.0
https://www.leicestermercury.co.uk/news/leicester-news/leicester-ranked-13th-safest-place-2084728,https://www.comparethemarket.com/home-insurance/content/the-uks-safest-places-to-live/#/stats?city=leicester&rank=13,0.0,0.0,1.0
https://www.yourlocalguardian.co.uk/news/16417157.sutton-second-safest-borough-south-london-research-says/,https://www.comparethemarket.com/home-insurance/content/the-uks-safest-places-to-live/#/overview?type=london,0.0,0.0,1.0
https://www.creditstrategy.co.uk/creditrisk-news/creditrisk-news/more-than-15-million-uk-renters-are-at-risk-of-losing-deposits-5277,https://www.comparethemarket.com/home-insurance/content/deposit-protection-scheme/,13.32,18.4,1.184
https://www.keytek.co.uk/ultimate-home-security-guide/keytek-guide-to-insurance/,https://www.comparethemarket.com/home-insurance/,22.76,72.35,1.7235
https://www.outandaboutlive.co.uk/motorhomes/articles/practical-advice/motorhome-finance-and-other-funding-methods,https://www.comparethemarket.com/motorhome-insurance/,25.16,51.58,1.5158
https://www.prospects.ac.uk/jobs-and-work-experience/self-employment/how-to-start-a-business,https://www.comparethemarket.com/home-insurance/,22.27,66.31,1.6631
https://www.yorkshirepost.co.uk/news/crime/which-yorkshire-areas-are-safest-cities-ranked-crime-rates-ambulances-and-thunder-566214,https://www.comparethemarket.com/home-insurance/content/the-uks-safest-places-to-live/#/overview,0.0,0.0,1.0
